card_no,filename,subject,name,rarity,up,right,down,left
145,card_145.png,りか,トリケラトプス,4,5,1,9,9
146,card_146.png,りか,DNA,5,10,7,8,5
147,card_147.png,りか,ブラックホール,5,10,5,8,6
148,card_148.png,りか,ヘラクレスオオカブト,5,7,7,10,6
149,card_149.png,りか,超新星爆発,5,1,7,10,9
150,card_150.png,りか,ティラノサウルス,5,7,9,1,10
151,card_151.png,しゃかい,三内丸山遺跡,1,2,7,2,2
152,card_152.png,しゃかい,法隆寺,1,4,2,5,3
153,card_153.png,しゃかい,鎌倉の大仏,1,2,4,3,5
154,card_154.png,しゃかい,桜田門外の変,1,5,2,5,1
155,card_155.png,しゃかい,野口英世,1,2,4,5,4
156,card_156.png,しゃかい,卑弥呼,2,6,4,2,6
157,card_157.png,しゃかい,紫式部,2,7,4,4,4
158,card_158.png,しゃかい,平清盛,2,5,3,7,5
159,card_159.png,しゃかい,北条政子,2,4,7,4,4
160,card_160.png,しゃかい,福沢諭吉,2,5,5,7,1
161,card_161.png,しゃかい,東大寺,2,4,1,4,7
162,card_162.png,しゃかい,金閣,2,2,6,4,7
163,card_163.png,しゃかい,厳島神社,2,4,6,4,5
164,card_164.png,しゃかい,壇ノ浦の戦い,2,2,3,6,7
165,card_165.png,しゃかい,黒船来航,2,2,7,5,6
166,card_166.png,しゃかい,聖武天皇,3,7,6,1,7
167,card_167.png,しゃかい,鑑真,3,7,1,7,5
168,card_168.png,しゃかい,源頼朝,3,8,5,5,5
169,card_169.png,しゃかい,足利尊氏,3,6,5,8,3
170,card_170.png,しゃかい,足利義満,3,5,1,7,8
171,card_171.png,しゃかい,フランシスコ・ザビエル,3,4,8,4,7
172,card_172.png,しゃかい,武田信玄,3,3,7,5,7
173,card_173.png,しゃかい,上杉謙信,3,8,1,6,7
174,card_174.png,しゃかい,坂本龍馬,3,8,7,1,6
175,card_175.png,しゃかい,西郷隆盛,3,6,6,5,7
176,card_176.png,しゃかい,姫路城,3,5,6,3,8
177,card_177.png,しゃかい,清水寺,3,4,6,6,8
178,card_178.png,しゃかい,日光東照宮,3,2,6,6,7
179,card_179.png,しゃかい,出雲大社,3,7,5,8,2
180,card_180.png,しゃかい,首里城,3,2,8,4,7
181,card_181.png,しゃかい,元寇,3,5,6,6,6
182,card_182.png,しゃかい,川中島の戦い,3,8,1,7,6
183,card_183.png,しゃかい,長篠の戦い,3,1,8,4,8
184,card_184.png,しゃかい,応仁の乱,3,6,2,8,6
185,card_185.png,しゃかい,大政奉還,3,8,8,3,1
186,card_186.png,しゃかい,聖徳太子,4,9,2,5,9
187,card_187.png,しゃかい,伊藤博文,4,9,2,5,8
188,card_188.png,しゃかい,徳川慶喜,4,1,5,9,9
189,card_189.png,しゃかい,伊達政宗,4,7,7,8,5
190,card_190.png,しゃかい,大阪城,4,7,7,9,4
191,card_191.png,しゃかい,江戸城,4,7,7,7,7
192,card_192.png,しゃかい,関ヶ原の戦い,4,7,9,7,1
193,card_193.png,しゃかい,大化の改新,4,7,6,6,9
194,card_194.png,しゃかい,廃藩置県,4,9,3,7,7
195,card_195.png,しゃかい,明治維新,4,7,8,9,1
196,card_196.png,しゃかい,織田信長,5,9,9,2,9
197,card_197.png,しゃかい,豊臣秀吉,5,2,10,10,5
198,card_198.png,しゃかい,徳川家康,5,6,6,9,9
199,card_199.png,しゃかい,本能寺の変,5,7,1,10,9
200,card_200.png,しゃかい,原爆ドーム,5,9,9,9,1
201,card_201.png,えいご,Cat,1,4,3,3,3
202,card_202.png,えいご,Apple,1,1,1,7,4
203,card_203.png,えいご,Flower,1,7,2,2,2
204,card_204.png,えいご,Pencil,1,4,4,3,4
205,card_205.png,えいご,Smile,1,5,5,2,2
206,card_206.png,えいご,Dog,2,1,7,1,7
207,card_207.png,えいご,Rabbit,2,5,4,4,7
208,card_208.png,えいご,Fish,2,4,7,2,5
209,card_209.png,えいご,Bird,2,2,7,2,7
210,card_210.png,えいご,Banana,2,7,7,2,2
211,card_211.png,えいご,Cake,2,4,5,3,7
212,card_212.png,えいご,Tree,2,5,6,2,6
213,card_213.png,えいご,Rain,2,7,5,5,1
214,card_214.png,えいご,Book,2,5,5,6,3
215,card_215.png,えいご,Happy,2,7,1,1,7
216,card_216.png,えいご,Horse,3,6,4,7,4
217,card_217.png,えいご,Dolphin,3,7,6,6,6
218,card_218.png,えいご,Monkey,3,4,8,6,6
219,card_219.png,えいご,Penguin,3,8,3,4,7
220,card_220.png,えいご,Owl,3,3,8,4,8
221,card_221.png,えいご,Fox,3,1,6,7,7
222,card_222.png,えいご,Hamburger,3,3,8,7,3
223,card_223.png,えいご,Strawberry,3,4,7,6,5
224,card_224.png,えいご,Chocolate,3,7,1,8,6
225,card_225.png,えいご,Mountain,3,6,7,4,4
226,card_226.png,えいご,River,3,8,7,4,4
227,card_227.png,えいご,Ocean,3,5,7,1,7
228,card_228.png,えいご,Rainbow,3,5,7,5,6
229,card_229.png,えいご,Train,3,8,4,5,4
230,card_230.png,えいご,Airplane,3,7,4,4,8
231,card_231.png,えいご,Ship,3,6,8,2,6
232,card_232.png,えいご,Run,3,7,7,4,4
233,card_233.png,えいご,Jump,3,8,4,1,8
234,card_234.png,えいご,Swim,3,4,2,8,8
235,card_235.png,えいご,Brave,3,7,7,7,1
236,card_236.png,えいご,Lion,4,9,3,6,8
237,card_237.png,えいご,Tiger,4,1,9,8,7
238,card_238.png,えいご,Eagle,4,8,8,1,8
239,card_239.png,えいご,Shark,4,6,9,6,7
240,card_240.png,えいご,Elephant,4,9,5,7,6
241,card_241.png,えいご,Volcano,4,1,9,7,8
242,card_242.png,えいご,Lightning,4,4,4,8,9
243,card_243.png,えいご,Hurricane,4,7,9,8,1
244,card_244.png,えいご,Rocket,4,9,3,3,9
245,card_245.png,えいご,Adventure,4,2,9,5,9
246,card_246.png,えいご,Dragon,5,10,10,2,5
247,card_247.png,えいご,Universe,5,10,7,8,4
248,card_248.png,えいご,Miracle,5,9,10,1,7
249,card_249.png,えいご,Infinity,5,4,9,7,9
250,card_250.png,えいご,Champion,5,3,8,10,7
